Ensemble_id	GO_Term	type	desc
ENSCAFG00845025927.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845023276.1	GO:0035195	biological_process	miRNA-mediated post-transcriptional gene silencing
ENSCAFG00845026490.1	GO:0035195	biological_process	miRNA-mediated post-transcriptional gene silencing
ENSCAFG00845026490.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845018320.1	GO:0035195	biological_process	miRNA-mediated post-transcriptional gene silencing
ENSCAFG00845018320.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845021972.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845021972.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00040025124.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00040025124.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00040025124.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00040025124.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00040025124.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845005097.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845005097.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845029640.1	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00845029640.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845029640.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845029640.1	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00845029640.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845007849.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845007849.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845007849.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845007849.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845007849.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845005223.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845005223.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845002741.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845002741.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845006997.1	GO:0035195	biological_process	miRNA-mediated post-transcriptional gene silencing
ENSCAFG00845006997.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845005086.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845005086.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845005517.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845005517.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845005517.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845005517.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845005517.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845016233.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845016233.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845018867.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845018867.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845010274.1	GO:0035195	biological_process	miRNA-mediated post-transcriptional gene silencing
ENSCAFG00845010274.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845015840.1	GO:0035195	biological_process	miRNA-mediated post-transcriptional gene silencing
ENSCAFG00845015840.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845025627.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845005072.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845005072.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845005077.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845005077.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845027995.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845027995.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845005417.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845022919.1	GO:0030627	molecular_function	pre-mRNA 5'-splice site binding
ENSCAFG00845022919.1	GO:0000395	biological_process	mRNA 5'-splice site recognition
ENSCAFG00845022919.1	GO:0005685	cellular_component	U1 snRNP
ENSCAFG00845007026.1	GO:0035195	biological_process	miRNA-mediated post-transcriptional gene silencing
ENSCAFG00845007026.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845024575.1	GO:0035195	biological_process	miRNA-mediated post-transcriptional gene silencing
ENSCAFG00845024575.1	GO:0016442	cellular_component	RISC complex
ENSCAFG00845020277.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845020277.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845024275.1	GO:0045131	molecular_function	pre-mRNA branch point binding
ENSCAFG00845024275.1	GO:0000348	biological_process	mRNA branch site recognition
ENSCAFG00845024275.1	GO:0005686	cellular_component	U2 snRNP
ENSCAFG00000048845.2	GO:0017070	molecular_function	U6 snRNA binding
ENSCAFG00000048845.2	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00000048845.2	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00000048845.2	GO:0005687	cellular_component	U4 snRNP
ENSCAFG00000048845.2	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845015273.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845015273.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845015273.1	GO:0015030	cellular_component	Cajal body
ENSCAFG00845000525.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845000525.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845000525.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845000525.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845000525.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845001674.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845001674.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845001674.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845001674.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845001674.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845028830.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845028830.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845009464.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845009464.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845009464.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845009464.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845009464.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845021724.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845021724.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845030691.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845030691.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845014319.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845014319.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845014319.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845014319.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845014319.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00000041321.2	GO:0006396	biological_process	RNA processing
ENSCAFG00000041321.2	GO:0005730	cellular_component	nucleolus
ENSCAFG00845009833.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845009833.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845019006.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845019006.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845019006.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845019006.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845019006.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845005120.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845005120.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845012380.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845012380.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845021740.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845021740.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00845002078.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845002078.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845002078.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845002078.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845002078.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845001673.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00845001673.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
ENSCAFG00845001673.1	GO:0000353	biological_process	formation of quadruple SL/U4/U5/U6 snRNP
ENSCAFG00845001673.1	GO:0005688	cellular_component	U6 snRNP
ENSCAFG00845001673.1	GO:0046540	cellular_component	U4/U6 x U5 tri-snRNP complex
ENSCAFG00845003434.1	GO:0006396	biological_process	RNA processing
ENSCAFG00845003434.1	GO:0005730	cellular_component	nucleolus
ENSCAFG00040018149.1	GO:0030621	molecular_function	U4 snRNA binding
ENSCAFG00040018149.1	GO:0000244	biological_process	spliceosomal tri-snRNP complex assembly
