Gene_name,Ensemble_id,Protein_ensembl_id,Locus
ENPP1,ENSCAFG00845000008,ENSCAFP00845000008.1,1:48282:118098:-1
PARD6G,ENSCAFG00845000019,ENSCAFP00845000015.1,1:284162:363471:1
ADNP2,ENSCAFG00845000021,ENSCAFP00845000018.1,1:399175:434130:-1
RBFA,ENSCAFG00845000024,ENSCAFP00845000022.1,1:490594:505165:-1
TXNL4A,ENSCAFG00845000026,ENSCAFP00845000027.1,1:520549:533021:1
HSBP1L1,ENSCAFG00845000030,ENSCAFP00845000030.1,1:542222:544965:-1
SLC66A2,ENSCAFG00845000033,ENSCAFP00845000045.1,1:557583:603284:1
CTDP1,ENSCAFG00845000045,ENSCAFP00845000066.1,1:563433:745698:-1
NFATC1,ENSCAFG00845000073,ENSCAFP00845000132.1,1:827016:923153:-1
ATP9B,ENSCAFG00845000134,ENSCAFP00845000192.1,1:938795:1175952:-1
SALL3,ENSCAFG00845000191,ENSCAFP00845000207.1,1:1217016:1234659:-1
GALR1,ENSCAFG00845000275,ENSCAFP00845000280.1,1:2532832:2548666:-1
MBP,ENSCAFG00845000353,ENSCAFP00845000462.1,1:2644343:2759352:1
ZNF236,ENSCAFG00845000448,ENSCAFP00845000620.1,1:2765932:2870223:-1
ZNF516,ENSCAFG00845000590,ENSCAFP00845000749.1,1:3115168:3249626:1
TSHZ1,ENSCAFG00845000638,ENSCAFP00845000799.1,1:4037375:4114612:-1
PTGR3,ENSCAFG00845000664,ENSCAFP00845000828.1,1:4115390:4123070:1
ZNF407,ENSCAFG00845000698,ENSCAFP00845000903.1,1:4233743:4679679:-1
CNDP1,ENSCAFG00845000751,ENSCAFP00845000950.1,1:4686287:4722599:-1
CNDP2,ENSCAFG00845000777,ENSCAFP00845000990.1,1:4725240:4742200:-1
DIPK1C,ENSCAFG00845000817,ENSCAFP00845001077.1,1:4770707:4790466:1
C18orf63,ENSCAFG00845000859,ENSCAFP00845001161.1,1:4842491:4877301:-1
CYB5A,ENSCAFG00845000926,ENSCAFP00845001277.1,1:4881336:4922028:1
TIMM21,ENSCAFG00845000972,ENSCAFP00845001310.1,1:4986114:4992294:-1
FBXO15,ENSCAFG00845000996,ENSCAFP00845001365.1,1:4992641:5040142:1
MAPRE1,ENSCAFG00845001028,ENSCAFP00845001387.1,1:5158210:5160784:1
NETO1,ENSCAFG00845001049,ENSCAFP00845001459.1,1:5929702:6044453:1
CBLN2,ENSCAFG00845001098,ENSCAFP00845001486.1,1:6191626:6199494:1
SOCS6,ENSCAFG00845001189,ENSCAFP00845001602.1,1:7914976:7954284:-1
RTTN,ENSCAFG00845001271,ENSCAFP00845002156.1,1:8010619:8153597:1
CD226,ENSCAFG00845001642,ENSCAFP00845002311.1,1:8180903:8267414:1
DOK6,ENSCAFG00845001688,ENSCAFP00845002362.1,1:8276641:8646172:-1
CCDC102B,ENSCAFG00845001729,ENSCAFP00845002443.1,1:8947641:9183681:-1
TMX3,ENSCAFG00845001805,ENSCAFP00845002584.1,1:9237219:9370217:1
DSEL,ENSCAFG00845001913,ENSCAFP00845002659.1,1:10193071:10216657:1
CDH19,ENSCAFG00845001959,ENSCAFP00845002730.1,1:10925807:11020334:1
CDH7,ENSCAFG00845002019,ENSCAFP00845002818.1,1:11558648:11677951:-1
SERPINB8,ENSCAFG00845002084,ENSCAFP00845002890.1,1:13068048:13082039:-1
